NAME;ADDRESS
AUCTION HOUSES;
Armitage’s Gallery;21NW
Bonham’s;12NW
Christie’s;87SW
Gartling’s Art Salon;75WC
Sotheby’s;78NW
BANKS;
Bank of England;23EC
Capital & Counties;75NW
City & Suburban;72EC
Continental Bank;68WC
Cox & Co;22WC
Credit Lyonnais;60SW
Drummond’s Bank;26WC
Holder & Stevenson;69EC
Sylvester’s;84EC
Worthingdon Bank;67NW
BARRISTERS;
Attard, Charles;34EC
Bakersfield, Woodward;21NW
Faversham, F.V;32WC
Hall, Edward;36EC
Krantz, Herbert;72WC
Mason, Cecil;92EC
Nast, Flavius;29EC
Robarts, Wilfrid;37WC
Truax, Robert;34EC
BATHS;
Bell’s Baths;11EC
Chelsea Baths;29SW
Crown Swimming Baths;20SE
Haley’s;57WC
Nevill’s Turkish Baths;92WC
St. George’s Baths;28NW
BOARDINGHOUSES;
Beaufort House;7NW
Borough, The;86SE
Calvin House;7E
Dover Rooms;11SE
Kent House;7WC
Knaresborough House;30SE
Madame Charpentier;59SE
Mrs. Cory’s;25SE
Mrs. Hawgood’s;7EC
Mrs. Jetley’s;7SE
Mrs. Warren’s;76WC
Pirlot House;23S
BOOKSELLERS;
Gilbert & Field;41EC
Hatchard’s;63NW
J. & E. Bumpus;12NW
Sotheran & Co;72WC
Dobell;66WC
Pickering & Chatto;86SW
Quaritch;66NW
Steven’s;63WC
BUTCHERS;
Bakers Meat;53NW
Cannon;69EC
Grosvenor;70NW
CARPETS;
Cardinal & Hartford;11WC
Gregory & Company;79NW
Shoolbred & Co;61WC
Sidley & Sons;32SE
CHARITIES;
Indigent Blind Vis. Soc;11WC
Invalid Ladies Est;92NW
London Homeopathic;9WC
Salvation Army;69EC
Salvation Army Hostel;42SE
Seamen’s;10S
Vegetarian Society;38E
Watt Street Mission;88EC
CHEMISTS;
Ambrecht & Co;32NW
Gould & Son;68EC
J. J. Goldstein & Son;41E
John Taylor, Chemist;72NW
Keene & Ashwell;87SW
Leath & Ross;85SE
Squire & Sons;66WC
CHURCHES;
